id,tenant_id,user_id,token_hash,revoked_at,expires_at,created_at
b4f9741b-11ce-4540-be12-49d5e7613b5f,c7d81291-463a-4d37-a909-3ee5c3223900,92359160-bc36-4fbc-9043-0cc07fa21744,rt_83e924a0457c9fc853c60d2fc168399e49485a4fe83792ef41079ad187e440f2,,2025-09-28T02:00:48+05:30,2025-08-29T02:00:48+05:30
05cd10ad-5ecb-4dbf-a4c4-84238ab2792e,4598b7de-3dae-4209-a205-331116f172ee,17cbe927-9a43-4460-833f-10ec2283afbf,rt_1b38c84b711657cb032c1bbfa9da6256edeac1d8be1670d59673e948c4fe5531,,2025-08-30T12:54:22+05:30,2025-07-31T12:54:22+05:30
1d49d4fb-116e-42ec-aa72-e3dca0ef4451,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,5e87ec75-16da-4874-82d6-56aeb9f96848,rt_a2bfd7576973429756e67b243267553ef89bc8605436a8c58afd2ae04f8f2ff5,,2025-08-18T08:29:58+05:30,2025-07-19T08:29:58+05:30
af6b0338-9090-4945-af68-6acadedf33da,51aede00-cdcb-4279-ab8f-10f40467e900,e96cfa89-f602-44f4-830e-f129a4c1f689,rt_4e0844c2ba6ddc60b409cf25334fbe0336880b1253d877a28a69f82bcbe8a53e,,2026-07-16T09:37:31+05:30,2026-06-16T09:37:31+05:30
55fd54a1-2a1a-40b5-93c6-66fb9f87f38e,beb85c12-f4a9-4d5e-b758-69ceab3762f4,72a51c79-9b8a-4cdc-a96f-1a9222d0b1d9,rt_b38811cd0272502c5c22727657ab0dc6632801b96ff055aa17227352ca4df9f9,,2025-09-18T11:57:31+05:30,2025-08-19T11:57:31+05:30
50d88804-02b8-4395-bf88-ae9aed8349ac,4c280ffb-8d40-4c63-915f-3972b01b44bb,37019b8f-8261-45ad-990f-fa27ec3d255e,rt_1464a3352187c7a468aae59c7b881e8b5523354c7fa3671d034a2547d1fffbe6,,2026-04-30T14:30:56+05:30,2026-03-31T14:30:56+05:30
44888e6f-7db6-434a-8380-80b1036e66e0,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,53ebe9ad-e6d1-446b-8777-01023c40e7ec,rt_ea4eadb78e8d6bede438a59327444228d416b88dcc8af931ec8e27c7116d4195,,2025-09-11T15:48:52+05:30,2025-08-12T15:48:52+05:30
10f260d3-481e-4416-bfdb-9ef0d2c5f486,60e6e333-7cd9-4623-a199-503967b22f0c,70f91821-4341-44cd-bb22-63946a965fc9,rt_f33cf2d8f9ce1ceb73fc4613c530236f76c9a459f3dbe41d04c6fe3ab149ee0b,,2026-05-10T13:21:21+05:30,2026-04-10T13:21:21+05:30
7ea3c101-f0c3-4885-a122-3d77ac87ab01,99b7f502-bf98-4c51-8fce-0c2e042d862d,5b4b29ab-5e49-4a44-a282-e89104c383f2,rt_c49a95e5d53dd820436d1c371e3e2e39d6f845bc92231534e8fd9fc5706e0866,,2025-12-28T01:11:54+05:30,2025-11-28T01:11:54+05:30
f7a258c3-77d9-42a3-b8bc-bda5ff0bebfa,74d15667-e8d9-4bc5-96b2-2cae0ca42248,c75caf7d-7ea3-49a6-8aff-8855a4d6159d,rt_fa375b3f1c18d61b254a9641172bc67acbce092631d13577c491cb4f43b5a6bb,,2025-12-23T07:18:33+05:30,2025-11-23T07:18:33+05:30
