id,tenant_id,name,key_hash,scopes,last_used_at,expires_at,is_active,created_at,updated_at
1b292d47-b64d-4b82-b4ad-d8e4feb74aa5,c7d81291-463a-4d37-a909-3ee5c3223900,staging,ak_aab8d7a01981cddc99920a8555958aab6b95c46b5d8fe2e778fe65c8f68972eb,"[""analytics:read""]",2026-03-06T07:25:51+05:30,2027-01-26T07:25:51+05:30,true,2026-01-26T07:25:51+05:30,2026-02-28T07:25:51+05:30
c7fc0b85-7595-4786-b28a-9c3f648ccf5d,4598b7de-3dae-4209-a205-331116f172ee,mcp-gateway,ak_feb47729ce5317b0b2a260f867c5a14e78491828bc70922505a2a1979a36df1b,"[""agents:read"",""chat:write"",""documents:write"",""agents:write""]",,,true,2026-01-03T01:03:55+05:30,2026-04-27T01:03:55+05:30
4938423d-75ae-4b3e-a181-5cf6085e53c0,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,staging,ak_95d40c1b1d0aff9d2f2bc94c2cc33f77c151ae31a813d1472f47f27c10479483,"[""chat:write""]",2025-12-01T12:53:09+05:30,2026-10-18T12:53:09+05:30,true,2025-10-18T12:53:09+05:30,2026-02-06T12:53:09+05:30
89444bfb-8f3b-476f-9db5-80c722931408,51aede00-cdcb-4279-ab8f-10f40467e900,production,ak_d4dc031ce816f5c42e389fa4f40f914f5bf166b9aed36f69a63345704e1f9175,"[""analytics:read""]",2025-12-22T07:28:27+05:30,2026-11-24T07:28:27+05:30,true,2025-11-24T07:28:27+05:30,2026-03-05T07:28:27+05:30
5bb7f88c-1416-417d-80d1-03f7d9da999f,beb85c12-f4a9-4d5e-b758-69ceab3762f4,analytics-export,ak_2991cf5213c547ae589f566a88b1dc1f4fd88cb4736f649c58f387d35104eee5,"[""analytics:read""]",2026-02-23T05:54:00+05:30,2027-01-11T05:54:00+05:30,true,2026-01-11T05:54:00+05:30,2026-03-13T05:54:00+05:30
f326727e-9696-437c-8f8f-c0c32fb98cdb,4c280ffb-8d40-4c63-915f-3972b01b44bb,staging,ak_1b4b96830f21a8739f4ec83b96f4b80be9ad8479ff332b1732b74845b056aaf9,"[""agents:write""]",2026-02-22T10:58:44+05:30,2026-12-28T10:58:44+05:30,true,2025-12-28T10:58:44+05:30,2026-03-24T10:58:44+05:30
4e141c8d-0f4f-449d-b8f3-7f8b248c71ef,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,staging,ak_707ca6a5506d2693f97869136a349664bd0c68e677deb56461698228d36c489b,"[""agents:read""]",2025-09-24T02:16:29+05:30,,false,2025-08-26T02:16:29+05:30,2025-11-07T02:16:29+05:30
b5506df4-7c88-49a6-8b64-6df19de70462,60e6e333-7cd9-4623-a199-503967b22f0c,analytics-export,ak_a891bee3d6894eeb166f21066d5ff1dce9e78b91c54c37112ab9e02eefd5270a,"[""chat:write"",""agents:write""]",2026-04-27T08:38:15+05:30,2027-04-02T08:38:15+05:30,true,2026-04-02T08:38:15+05:30,2026-06-22T18:00:00+05:30
e5ad1df8-d6d1-47c9-a87e-c4d9f34c7681,99b7f502-bf98-4c51-8fce-0c2e042d862d,production,ak_0aaf76080308b1aa3abc370ee3be2b803b910f5d3db5786041b2d667f6fe42d2,"[""chat:write"",""agents:write""]",2025-12-09T05:48:52+05:30,2026-11-18T05:48:52+05:30,true,2025-11-18T05:48:52+05:30,2025-12-25T05:48:52+05:30
ce7376f0-9e4a-4d10-91f6-c006d1789af3,74d15667-e8d9-4bc5-96b2-2cae0ca42248,webhook,ak_e21df47c945bf850e4eea1952caf6842aca0b9eef8a33080f31cf94d904fe50f,"[""agents:read"",""agents:write"",""analytics:read""]",,2027-01-03T11:09:19+05:30,true,2026-01-03T11:09:19+05:30,2026-04-27T11:09:19+05:30
4fc931ea-39bb-42d6-b799-a8c52a0f31a7,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,production,ak_aec8e0c8f553c66274b246673dd5d5800cc97dbee00f38d999a391c3634b1c40,"[""documents:write""]",2026-06-05T12:44:16+05:30,2027-04-26T12:44:16+05:30,true,2026-04-26T12:44:16+05:30,2026-06-22T18:00:00+05:30
2d08ba32-50e2-4d5a-844c-d0b9ac9cb4d7,07650c52-892e-4f8a-b45b-b851d90db0fd,staging,ak_922e0ca75db8d452e3b25ca1a9f18e094b21fa96825c7b24b55916d2b3c315cb,"[""documents:write"",""agents:write""]",2025-09-03T00:36:20+05:30,2026-08-26T00:36:20+05:30,true,2025-08-26T00:36:20+05:30,2025-11-21T00:36:20+05:30
31d44579-f26e-40b7-ba86-ba6317191163,46d5dd02-9c48-4d80-8ff9-2078da3c6d46,analytics-export,ak_0146e8bd321a9afde0b08f00f66d5316b1177202bfa7bad2c8e23635d547246f,"[""chat:write"",""documents:write"",""agents:read"",""analytics:read""]",,,true,2025-07-14T02:29:56+05:30,2025-08-05T02:29:56+05:30
ed311463-c458-4373-88c9-03cd153b2626,3bf589a2-07d1-4dcf-9c83-823cada0d607,webhook,ak_fd3711c46bfc2e630a9df933d88efaefdae94d31e975f3ee593ae00a9a5e9f4a,"[""documents:write"",""analytics:read"",""chat:write""]",2025-11-08T10:23:57+05:30,2026-09-23T10:23:57+05:30,true,2025-09-23T10:23:57+05:30,2025-11-09T10:23:57+05:30
3e4fbb9c-94c5-45fb-9e20-249fcec92d59,49026c7f-4614-4430-9b2e-4efbce1c11be,mcp-gateway,ak_e128ae1a49bb9349feffe2db24b142b690969d6568365c455417cad0f178e0f5,"[""agents:read"",""agents:write""]",2026-01-18T04:12:13+05:30,2027-01-07T04:12:13+05:30,true,2026-01-07T04:12:13+05:30,2026-02-23T04:12:13+05:30
c1f0bbc5-e087-4281-a3fd-a850f696eb59,5b3e3188-26b2-41f8-8d4e-57067597768b,webhook,ak_25c3205e98ec4bd1d1f28f45ac8fd4087ff58733a73baf341b002ad5f95e3ff3,"[""analytics:read"",""agents:write""]",2025-08-25T07:55:08+05:30,2026-07-18T07:55:08+05:30,true,2025-07-18T07:55:08+05:30,2025-08-28T07:55:08+05:30
0a1a0e17-a56a-4e11-9b99-80b224439651,4d2467ce-3b58-4848-accb-0a4dc3cba1ac,staging,ak_e5f19b33bcbd1940ae837c7bbbd9fb1c10c6648fcd4efe10333f5a8d40d54226,"[""agents:write"",""documents:write"",""analytics:read""]",2026-06-12T08:37:56+05:30,,true,2026-06-10T08:37:56+05:30,2026-06-22T18:00:00+05:30
0c853abc-36bd-442e-af96-1032aa8380da,2f76e7b9-7d11-4c1f-bca7-512fe16c55d0,analytics-export,ak_c51e89c4ac523e5d46c83d496536eeab892d9078197343ae1100a873dd919dbc,"[""analytics:read""]",,,true,2026-02-14T05:32:00+05:30,2026-06-02T05:32:00+05:30
5b73dc38-35f1-4cf1-aeb1-ed865558f7fe,8df5555c-86a1-4558-b57a-c3877a013d64,staging,ak_1b2b01373990efa9c7e08dd1570e4dec56cf07d513bb3ca87f852555808d928b,"[""agents:read""]",2026-07-02T11:26:34+05:30,2027-06-22T11:26:34+05:30,false,2026-06-22T11:26:34+05:30,2026-06-22T18:00:00+05:30
