id,tenant_id,user_id,email,token_hash,status,requested_ip,expires_at,used_at,created_at
1b9e661c-f87f-489a-a274-3698b3854dc5,1437689b-975c-4458-a817-2ca7257a7a8a,28864ba8-cf96-410d-823c-5457d768a000,fatima.chen.006624@northstar-labs-06624.example.com,pr_e44c29eb4185cc4e83203ab0a7f89ad1ab6b8737a6611df9f8378571d04724d7,requested,103.114.214.68,2025-07-03T06:27:23+05:30,,2025-07-03T04:27:23+05:30
5597766d-3744-4042-b195-6e22a3784fbe,d81c9274-6cfb-4847-be23-cfbb21373f41,60d53fcc-1dbf-42fb-a32e-8bd79bdb8776,diya.sharma.011339@northstar-health-06412.example.com,pr_39d73db53b28946d624e229e68654bc83848cede9e9418516f0eee44e7577140,requested,103.162.15.226,2026-02-16T15:36:26+05:30,,2026-02-16T13:36:26+05:30
f3722ab9-3d7c-41eb-a75a-09ded97ba3db,7ad69d2b-0a82-4e84-8b89-c0ba8e742817,02345045-8055-4008-8344-4a9194c602e3,aiden.nguyen.005125@brightpath-health-05125.example.com,pr_f66a0347e06539485499a7cadeb73a2a9b7826b7243993adfe62a57f7f6ce7b8,expired,103.26.135.28,2025-11-20T12:42:09+05:30,,2025-11-20T10:42:09+05:30
b8051a0e-224b-475d-8b36-68d2d65321d6,33d8e99b-44f2-428a-b28c-74e00afea7e0,b58037a8-1867-4218-b1d4-27064b6d59bc,mason.johnson.012968@coreaxis-logistics-02567.example.com,pr_6d6c3f003c6bbc02a4055b49725b7ca4c1bbfbf4e499e38892cab698864ce345,requested,103.200.81.86,2025-07-11T20:58:39+05:30,,2025-07-11T18:58:39+05:30
4707454e-914b-4f36-a712-1746e04d4c1d,b14f6fd3-a6f7-4971-9309-df3c54cc83c2,c2126dde-4819-4fb1-a146-7862c14faf82,liam.rao.001252@clearline-financial-01252.example.com,pr_4f54b2046f9d97080935dd1f87510db647deafecd7942f1fe04ddb9da595c7cf,requested,159.174.128.98,2025-11-26T05:59:26+05:30,,2025-11-26T03:59:26+05:30
1e15bab3-dd1c-4d01-abdc-ae77c861818b,5779b727-5c9e-424e-8de3-25f31da0570b,16740539-0cf4-49a5-9fdb-acde420d8371,ishaan.young.009857@clearline-networks-09857.example.com,pr_10fecae4bce3464e350b2ff3a1ac97881d1ab1302031094ae99776a28ceb514a,requested,103.199.233.231,2026-02-26T08:23:21+05:30,,2026-02-26T06:23:21+05:30
f13063b9-b471-4d23-bdaf-71c79d2f9639,4b25d2a2-851f-415b-83db-746f7f2d61cd,c2ce841d-9fdd-45b8-ad6d-da08c8ef1914,nora.patel.019487@northstar-systems-05939.example.com,pr_505799771085adcb80a373675ba8367fe3ec459714803d7b86de4fdb9f3e45df,used,103.171.129.227,2025-08-20T05:01:31+05:30,2025-08-20T03:42:31+05:30,2025-08-20T03:01:31+05:30
7ed56cd7-a6da-43e8-861d-d980d375e582,6332c2ae-76e8-4203-87b2-b05ca2a96bbf,2a8c1738-77fb-46e2-8e71-1e5c8caba463,leila.rodriguez.016847@nimbus-logistics-05810.example.com,pr_e47a5935684941d972aad053ca8759e6e50cef7d007e2db6909884b31ebbbdf0,used,103.157.176.116,2025-07-31T18:06:03+05:30,2025-07-31T16:32:03+05:30,2025-07-31T16:06:03+05:30
408eac70-159d-49c3-8fed-c18cbbbf4f35,25482006-a32e-4375-851c-436406a25788,1752df5e-bc38-4929-b551-33e4fefcc108,harper.thomas.017160@silverline-services-06765.example.com,pr_6ad3e1bb405f8d660ef4a82983c46f1add12a2cc147b94cb5af665cfe0affb9a,revoked,103.115.218.4,2026-03-06T08:29:39+05:30,,2026-03-06T06:29:39+05:30
60b3fd6c-23ca-4d59-9796-e4f59c4214b7,24a251a7-36be-4004-82e0-bef0df31cec8,ba0b139c-1ca6-4e1f-a32a-c3875504123e,aiden.lee.004078@northstar-analytics-04078.example.com,pr_eea8eb5d74d3c6a6760f8886989b6e4df0d0bbd37cd94ea5db14e6d83802d3c2,used,103.25.236.6,2025-09-20T05:12:08+05:30,2025-09-20T03:21:08+05:30,2025-09-20T03:12:08+05:30
